Gene	Meta program	Annotation
BMPR1B	2	Neural-like progenitor
MCTP1	2	Neural-like progenitor
FIRRE	2	Neural-like progenitor
CHSY3	2	Neural-like progenitor
ANKH	2	Neural-like progenitor
CDH9	2	Neural-like progenitor
TRIM5	2	Neural-like progenitor
LRFN5	2	Neural-like progenitor
FSTL5	2	Neural-like progenitor
QRFPR	2	Neural-like progenitor
ABCC9	2	Neural-like progenitor
GHR	2	Neural-like progenitor
SCGB3A1	2	Neural-like progenitor
PLSCR4	2	Neural-like progenitor
FCRLB	2	Neural-like progenitor
MEF2C-AS1	2	Neural-like progenitor
OLFM4	2	Neural-like progenitor
NRK	2	Neural-like progenitor
CAPN13	2	Neural-like progenitor
CA8	2	Neural-like progenitor
CDH10	2	Neural-like progenitor
LEFTY1	2	Neural-like progenitor
TRPM6	2	Neural-like progenitor
PCDH15	2	Neural-like progenitor
PPP1R1C	2	Neural-like progenitor
MUC4	3	Squamous
PTPRZ1	3	Squamous
DSG3	3	Squamous
CT69	3	Squamous
SERPINB13	3	Squamous
DSC3	3	Squamous
KRT6A	3	Squamous
BARX2	3	Squamous
PKP1	3	Squamous
SERPINB12	3	Squamous
HS3ST3A1	3	Squamous
KLK11	3	Squamous
FMO3	3	Squamous
ABCA13	3	Squamous
PCAT5	3	Squamous
CUL2	3	Squamous
SLCO1B3	3	Squamous
GCNT2	3	Squamous
CALB1	3	Squamous
TXNRD1	3	Squamous
SLURP2	3	Squamous
AKR1B10	3	Squamous
ADH7	3	Squamous
GABRP	3	Squamous
CES1	3	Squamous
CD44	3	Squamous
MYEOV	3	Squamous
DSG4	3	Squamous
GSDMC	3	Squamous
CCNY	3	Squamous
GCNT3	3	Squamous
FMO2	3	Squamous
CLDN10-AS1	3	Squamous
KLK10	3	Squamous
ADAMTSL3	3	Squamous
DTHD1	3	Squamous
RARB	3	Squamous
SLC22A3	3	Squamous
RNF217-AS1	3	Squamous
ALDH3A1	3	Squamous
TMPRSS11D	3	Squamous
CLEC2A	3	Squamous
ESR1	3	Squamous
GRIK1	3	Squamous
SERPINB11	3	Squamous
SPON1	3	Squamous
GLI2	3	Squamous
PLEKHS1	3	Squamous
FGGY	3	Squamous
ATP13A5	3	Squamous
DEFB1	3	Squamous
AC008517.1	3	Squamous
IDO2	3	Squamous
SPRR1B	3	Squamous
KLK13	3	Squamous
DPH6-DT	3	Squamous
SPRR2A	3	Squamous
LY86-AS1	3	Squamous
SPRR2D	3	Squamous
ABCA4	3	Squamous
ROS1	3	Squamous
SCGB1A1	3	Squamous
VNN1	3	Squamous
RGS7BP	3	Squamous
HTR1E	3	Squamous
KRT1	3	Squamous
AF212831.1	3	Squamous
CPA4	3	Squamous
CDH19	4	Mesenchymal
FDCSP	4	Mesenchymal
AC136616.1	4	Mesenchymal
CDH13	4	Mesenchymal
RFX4	4	Mesenchymal
NFIA-AS2	4	Mesenchymal
CA10	4	Mesenchymal
CRYAB	4	Mesenchymal
BICC1	4	Mesenchymal
A2M	4	Mesenchymal
NPAS3	4	Mesenchymal
FGFR1	4	Mesenchymal
TCF4	4	Mesenchymal
TMOD1	4	Mesenchymal
KLHL4	4	Mesenchymal
DMD	4	Mesenchymal
WIF1	4	Mesenchymal
SHC4	4	Mesenchymal
ZEB2	4	Mesenchymal
VIM	4	Mesenchymal
CFAP61	4	Mesenchymal
COL8A1	4	Mesenchymal
EYA2	4	Mesenchymal
THSD7B	4	Mesenchymal
RUNX1T1	4	Mesenchymal
CHRM3	4	Mesenchymal
GFAP	4	Mesenchymal
ACTN1	4	Mesenchymal
NOL4	4	Mesenchymal
ABI3BP	4	Mesenchymal
PRRX1	4	Mesenchymal
NFATC2	4	Mesenchymal
SERPINE2	4	Mesenchymal
BACH2	4	Mesenchymal
FMN1	4	Mesenchymal
DACH1	4	Mesenchymal
PGM2L1	4	Mesenchymal
CCN1	4	Mesenchymal
NFIB	4	Mesenchymal
ACAN	4	Mesenchymal
ANKRD30A	4	Mesenchymal
MSN	4	Mesenchymal
BMPER	4	Mesenchymal
GRID2	4	Mesenchymal
COL4A2	4	Mesenchymal
