GP1	GP2	GP3	GP4
CTNNAL1		FAM241A	QSER1
AFAP1		MPP6	MGMT
MYB		MID2	8-Mar
MAPK8		CPEB2	NUBPL
CC2D2B		SLC39A8	APLF
KLHL2		GFPT2	FAM110B
EVI5		PPP2R3A	TSC22D1
NCS1		NAF1	ADAM29
GLDC		RTN2	CNIH3
HAVCR1		TNFRSF10B	HEATR5B
ZNF282		GREM2	ALMS1
SLC1A1		PIK3R3	ORC5
CCDC50		TSHZ1	TMEM65
SPOCK3		DNAJC6	PDSS2
TSPAN13		RCAN2	ANKAR
GRK3		CMSS1	SLIT3
SAMSN1-AS1		ANKRD6	DPH6
HECTD2		GCNT4	INVS
FBXO10		C17orf99	VRK2
GNA15		FILIP1L	RHBDD1
CLECL1		DOCK7	CHIC1
RDH10		AFDN	SLC25A13
KLF7		CLIC4	LYPLAL1
EIF4E		VIPR2	FAM135A
PLEKHA7		SNED1	AHCYL2
PLAGL1		SNX24	JHY
CHST3		SIPA1L2	MTERF1
AGPAT5		PRX	SEMA6A-AS1
ASPH		MEIKIN	UFL1-AS1
CCL20		ARG2	CBR4
KCNN3		RGS17	NSL1
PRDM5		CDKL5	STK33
BTNL8		ABL2	ZNF235
PKIA		USP49	IMMP1L
EEPD1		GKAP1	TAPT1-AS1
ITGA9-AS1		CUBN	ARMCX5-GPRASP2
SHPK		SNAPC1	ATG10
ERI1		PLAG1	NDUFAF2
FLT1		TSGA10	DISP1
MAMLD1		EFCAB10	AGBL3
IL7		RADX	STX18-AS1
TNFSF4		DIPK2A	DDX10
SMCO4		EFHC1	ALOX12-AS1
LMCD1		EPB41L5	ZMAT3
SLC1A4		CTH	FKTN
PRRG4		LDHC	EIF1B-AS1
SECISBP2L		TBC1D32	DTD1
PLS3		ZCCHC14	DCAF10
CPM		AASS	DOP1A
PON3		RAB44	AMMECR1
ENPP6		PPP1R36	ANKRD26
TLN2		KLHL32	HIBADH
SLC9A7		PRKCG	BMT2
WWTR1		ANO10	GPATCH2
DOK5		GCLC	RHOT1
NPAS3		EFCAB2	ATG4C
TNFRSF8		TMEM67	KLHDC10
ANKS1B		ENPP2	DIP2C
SLC41A2		P4HA1	TMLHE-AS1
RDH10-AS1		SAMD4A	PLGRKT
MOXD1		SPEF2	MTX2
CD200		STPG4	TCAIM
ARHGAP21		KLKB1	IFT88
BEND4		PRKCI	SINHCAF
DIXDC1		ZNF208	PLEKHM3
SLC35F2		AIG1	PEX7
KIF7		SGO1-AS1	MOSMO
IQCJ-SCHIP1		DTWD2	PRPF40B
CDC14B		KIF16B	NARS2
CCDC73		IRGM	AK9
EVC		MPP5	TTC28-AS1
WNT9A		UBE2Q2	RBM41
ST7		COL27A1	ENOX2
TRPV1		CFAP70	CKMT2-AS1
RUSC2		ZNRF3	ZNF277
LMCD1-AS1		ACVR1C	MTA3
NDNF		LEF1-AS1	SHOC1
DRP2		CASC19	DENND6A-AS1
		EFHC2	SLAIN1
		STARD4-AS1	SLC25A43
		EYS	
		METTL24	
		WDR64	
		DENND2C	
		MAP9	
		ABLIM2	
		IMPG2	
		SLC4A5	
		DCBLD1	
		RNF24	
		FNDC7	
		NT5DC3	
		NRIP3	
		NLRP3	
		XG	
		DLG2	
		EXPH5	
		EFNA2	
		FGF9	
		KHDRBS3	
		DOCK4	
		TESK2	
		PRSS3	
		MAP3K21	
		FHL1	
		SLC26A5	
		ABCA3	
