Naive	Cytotoxicity	Treg	Exhaustion	IFN_signaling	Cytokine	Chemokine	Costimulatory_molecules	Oxidative_phosphorylation	Glycolysis	Lipid_metabolism	TCR_signaling	JAK-STAT_signaling	MAPK_signaling	NFKB_signaling	Neoantigen-reactive
								MT.ND5		STARD7		IFNGR2	ELK1		
								NDUFA13		TNFAIP8		IFNW1	ELK4		
								NDUFA6				IL2	FAS		
								NDUFB2				IL2RA	FASLG		
								NDUFC1				IL2RB	FGF1		
								NDUFV2				IL2RG	FGF10		
								UQCR10				IL3	FGF11		
								UQCR11				IL3RA	FGF12		
								UQCR11.1				IL4	FGF13		
								UQCRB				IL4R	FGF14		
								UQCRC2				IL5	FGF16		
								UQCRHL				IL5RA	FGF17		
								SURF4				IL6	FGF18		
								CYCS				IL6R	FGF19		
								ISCU				IL6ST	FGF2		
								MTCH1				IL7	FGF20		
												IL7R	FGF21		
												IL9	FGF22		
												IL9R	FGF23		
												IL10	FGF3		
												IL10RA	FGF4		
												IL10RB	FGF5		
												IL11	FGF6		
												IL11RA	FGF7		
												IL12A	FGF8		
												IL12B	FGF9		
												IL12RB1	FGFR1		
												IL12RB2	FGFR2		
												IL13	FGFR3		
												IL13RA1	FGFR4		
												IL13RA2	FLNA		
												IL15	FLNB		
												IL15RA	FLNC		
												JAK1	FOS		
												JAK2	GADD45A		
												JAK3	GADD45B		
												LEP	GADD45G		
												LEPR	GNA12		
												LIF	GNG12		
												LIFR	GRB2		
												MPL	HRAS		
												MYC	HSPA1A		
												OSM	HSPA1B		
												IL20	HSPA1L		
												IL21R	HSPA2		
												IL22	HSPA6		
												IL23A	HSPA8		
												PIAS4	HSPB1		
												PIK3CA	IKBKB		
												PIK3CB	IKBKG		
												PIM1	IL1A		
												PIK3CD	IL1B		
												PIK3CG	IL1R1		
												PIK3R1	IL1R2		
												PIK3R2	JMJD7-PLA2G4B		
												IL20RA	JUN		
												IL20RB	JUND		
												IL26	KRAS		
												PRL	LAMTOR3		
												PRLR	MAP2K1		
												IFNK	MAP2K2		
												PTPN6	MAP2K3		
												PTPN11	MAP2K4		
												IL22RA1	MAP2K5		
												IL21	MAP2K6		
												CCND1	MAP2K7		
												BCL2L1	MAP3K1		
												CRLF2	MAP3K11		
												SOS1	MAP3K12		
												SOS2	MAP3K13		
												STAT1	MAP3K14		
												STAT2	MAP3K2		
												STAT3	MAP3K20		
												STAT4	MAP3K3		
												STAT5A	MAP3K4		
												STAT5B	MAP3K5		
												STAT6	MAP3K6		
												TPO	MAP3K7		
												TYK2	MAP3K8		
												STAM	MAP4K1		
												SPRY4	MAP4K2		
												PIK3R3	MAP4K3		
												TSLP	MAP4K4		
												PIAS1	MAPK1		
												SOCS1	MAPK10		
												CBL	MAPK11		
												CBLB	MAPK12		
												SOCS2	MAPK13		
												CCND2	MAPK14		
												CCND3	MAPK3		
												SOCS3	MAPK7		
												PIAS2	MAPK8		
												OSMR	MAPK8IP1		
												SOCS5	MAPK8IP2		
													MAPK8IP3		
													MAPK9		
													MAPKAPK2		
													MAPKAPK3		
													MAPKAPK5		
													MAPT		
													MAX		
													MECOM		
													MEF2C		
													MKNK1		
													MKNK2		
													MOS		
													MRAS		
													MYC		
													NF1		
													NFATC2		
													NFATC4		
													NFKB1		
													NFKB2		
													NGF		
													NLK		
													NR4A1		
													NRAS		
													NTF3		
													NTF4		
													NTRK1		
													NTRK2		
													PAK1		
													PAK2		
													PDGFA		
													PDGFB		
													PDGFRA		
													PDGFRB		
													PLA2G10		
													PLA2G12A		
													PLA2G12B		
													PLA2G1B		
													PLA2G2A		
													PLA2G2C		
													PLA2G2D		
													PLA2G2E		
													PLA2G2F		
													PLA2G3		
													PLA2G4A		
													PLA2G4B		
													PLA2G4E		
													PLA2G5		
													PLA2G6		
													PPM1A		
													PPM1B		
													PPP3CA		
													PPP3CB		
													PPP3CC		
													PPP3R1		
													PPP3R2		
													PPP5C		
													PRKACA		
													PRKACB		
													PRKACG		
													PRKCA		
													PRKCB		
													PRKCG		
													PRKX		
													PTPN5		
													PTPN7		
													PTPRR		
													RAC1		
													RAC2		
													RAC3		
													RAF1		
													RAP1A		
													RAP1B		
													RAPGEF2		
													RASA1		
													RASA2		
													RASGRF1		
													RASGRF2		
													RASGRP1		
													RASGRP2		
													RASGRP3		
													RASGRP4		
													RELA		
													RELB		
													RPS6KA1		
													RPS6KA2		
													RPS6KA3		
													RPS6KA4		
													RPS6KA5		
													RPS6KA6		
													RRAS		
													RRAS2		
													SOS1		
													SOS2		
													SRF		
													STK3		
													STK4		
													STMN1		
													TAB1		
													TAB2		
													TAOK1		
													TAOK2		
													TAOK3		
													TGFB1		
													TGFB2		
													TGFB3		
													TGFBR1		
													TGFBR2		
													TNF		
													TNFRSF1A		
													TP53		
													TRAF2		
													TRAF6		
