LUM	SQM	BSL	NEC	MES	NRP 	CYG	Mesenchymal	Cycle	Interferon	Stress_Barkley	Hypoxia	Interferon_MHC-II-I	Stress_Gavish	EMT-I	MP7	Subtype-N	Subtype-P	Oxidative_phosphorylation 	Cytokines_and_inflammatory_response	Interferon_gamma_response	Regulation_of_autophagy
				PDGFRB	TTLL7	CDK1		CALM3	EPSTI1	CCP110	PDK1	HLA-E	IRF1	LUM	KLK10	BRSK1	AVIL	NDUFB5		CFB	ULK1
				MYL9	SOX6	IQGAP3		CARHSP1	ETV7	CD55	PFKFB3	HLA-C	CDKN1A	MYL9	SMIM5	BTBD17	AZGP1	NDUFB6		CFH	ATG4C
				CTGF	SPP1	NDC80		CASC5	FXYD5	CDKN1A	PFKP	PARP14	HES1	PRSS23		CABP7	B4GALNT2	NDUFB7		CIITA	ATG4D
				COL5A1	ASXL3	DEPDC1		CCDC34	GBP1	CDKN2AIP	PGF	WARS	ID2	TGFBI		CACNG2	B4GALNT4	NDUFB8		CMKLR1	BECN1
				IGKC	POU6F2	CEP55		CCNA2	GBP2	CEBPB	PGK1	HLA-DQB1	KLF4	TPM2		CACNG4	BATF3	NDUFB9		CMPK2	ATG12
				ACTG2	DZIP1	TROAP		CCNB1	GBP3	CEBPD	PLIN2	LAP3	KLF10	CAV1		CAMK4	BCL2L12	NDUFB10		CSF2RB	ATG5
				SPARCL1	ITIH5	MKI67		CCNB2	GBP4	CITED2	PLOD2	PSMB8	CXCL2	CYR61		CAMKV	BMP2	NDUFC1		CXCL10	ULK2
				LGALS1	PRKG1	NUF2		CCNE1	GBP5	CLDN3	PTHLH	C1S	ID1	IGFBP5		CAP2	BMP7	NDUFC2		CXCL11	
				CCDC80	IL1R1	BUB1B		CCNE2	GLUL	CLDN4	RGCC	HLA-DRB5	TOB1	LGALS1		CAPG	BMX	NDUFS1		CXCL9	
				GREM1	SEMA3E	KIF2C		CCT5	HAPLN3	CLK1	SLC16A1	PLSCR1	TRIB1	SPARCL1		CBLN1	BOC	NDUFS2		RIGI	
				MMP9	GUCY1A2	CKAP2		CDC20	HELZ2	CSRNP1	SLC16A3	TYMP	HSPH1	A2M		CCDC136	C1QL4	NDUFS3		DDX60	
				C11orf96	AC092535.3	PRR11		CDC25B	HERC5	CXCL1	SLC2A1	C1R	RASD1	ACTA2		CCL1	C1R	NDUFV1		DHX58	
				HTRA1	RCAN2	FAM83D		CDC45	HERC6	CXCL2	SLC2A3	SAA1	SAT1	CALD1		CD200	CALD1	NDUFS4		EIF2AK2	
				IGHA1	SLC3A1	DEPDC1B		CDC6	HLA-A	CXCL3	SLC6A8	HLA-F	DDIT4	COL6A3		CDH23	CAV2	NDUFS5		EIF4E3	
				HTRA3	MAN1A1	RACGAP1		CDCA2	HLA-B	CXCL5		IFIT2	EGR2	CTSK		CDKAL1	CBS	NDUFS6		EPSTI1	
