LUM	SQM	BSL	NEC	MES	NRP 	CYG	Mesenchymal	Cycle	Interferon	Stress_Barkley	Hypoxia	Interferon_MHC-II-I	Stress_Gavish	EMT-I	MP7	Subtype-N	Subtype-P	Oxidative_phosphorylation 	Cytokines_and_inflammatory_response	Interferon_gamma_response	Regulation_of_autophagy
								PTMS		TSC22D3						SH2D5	MYB				
								PTN		UBC						SHANK1	MYBPC1				
								PTTG1		UGDH						SHD	MYO1B				
								RACGAP1		VPS37B						SHF	NDRG2				
								RAD21		WEE1						SLC16A2	NFATC1				
								RAD51		YBX3						SLC17A6	NFIX				
								RAD51AP1		YME1L1						SLC17A7	NME4				
								RAD51C		YOD1						SLC22A17	NMU				
								RAN		ZBTB43						SLC32A1	NOTCH1				
								RANBP1		ZC3H12A						SLC7A3	NOTCH2				
								RBL1		ZFAND2A						SLC8A2	NPR3				
								RECQL4		ZFP36						SLN	NRG2				
								RFC2		ZFP36L1						SNAP91	NRGN				
								RFC3		ZFP36L2						SNCAIP	NTRK3				
								RFC4		ZNF165						SNCB	NXPH4				
								RFC5		ZNF430						SNN	OAF				
								RMI2								SOCS2	OBP2B				
								RNASEH2A								SOX1	OBSCN				
								RNASEH2B								SOX11	OGDHL				
								RNF26								SP9	OLFM2				
								RPA2								SPTBN4	OLIG2				
								RPA3								SSTR2	OMG				
								RRM1								SSTR3	OR10Q1				
								RRM2								ST6GALNAC5	OR2A7				
								SAPCD2								ST8SIA2	OR2T33				
								SGOL1								STMN2	OR2T8				
								SGOL2								STMN4	OR2W3				
								SHCBP1								STX1B	OSMR				
								SIVA1								SV2C	PACSIN3				
								SKA2								SYNGR1	PAK6				
								SKA3								SYT3	PALMD				
								SLBP								TAGLN3	PAQR5				
								SLC25A5								TAL1	PAX2				
								SLC43A3								TCEAL2	PCSK5				
								SMC1A								TCEAL5	PHOSPHO1				
								SMC2								TCEAL7	PIK3C2B				
								SMC4								THSD7B	PIK3CG				
								SNRNP25								TMCC2	PIK3R5				
								SNRPB								TMEFF1	PIRT				
								SNRPD1								TMEM130	PITX2				
								SPAG5								TMEM132E	PKN3				
								SPC24								TMEM151B	PKP3				
								SPC25								TMSB15B	PLA2G4A				
								SPDL1								TP53I11	PLA2G4D				
								STMN1								TPO	PLCB3				
								STRA13								TSHR	PLCG2				
								SUN2								TTBK1	PLEKHO2				
								SYT8								TTC9B	PMP22				
								TACC3								TUBA1A	PODXL				
								TCF19								TUBB3	POU2F3				
								TEX30								UBASH3B	PRB2				
								TFDP1								UNC5A	PRDX6				
								TK1								UNC5B	PRKCQ				
								TMEM106C								UNCX	PRKX				
								TMEM97								USP49	PRLR				
								TMPO								VASH1	PROM2				
								TNFAIP8L1								VWA5B1	PRR16				
								TOP2A								WFIKKN2	PRRG1				
								TPX2								ZEB2	PSD2				
								TRIP13								ZIK1	PTGS1				
								TROAP								ZNF536	PTGS2				
								TTK								ZNF711	PTPN14				
								TUBA1B									PTPN18				
								TUBA1C									PTPRT				
								TUBB									PVR				
								TUBB4B									PYCARD				
								TUBB6									RAB3IL1				
								TUBG1									RAB4A				
								TYMS									RALGPS2				
								UBE2C									RARG				
								UBE2S									RASD2				
								UBE2T									RASSF2				
								UHRF1									RBM38				
								UNG									RBPMS				
								USP1									RBPMS2				
								VRK1									RGL1				
								WDR34									RGMA				
								WDR76									RGPD1				
								ZWILCH									RGS13				
								ZWINT									RGS21				
																	RHOBTB1				
																	RHOD				
																	RNF144B				
																	SAMD5				
																	SCARF2				
																	SDC2				
																	SH2D6				
																	SH3BGRL				
																	SH3GL3				
																	SH3RF1				
																	SIK1				
																	SIM2				
																	SIRPA				
																	SLC12A8				
																	SLC22A23				
																	SLC30A3				
																	SLC41A1				
																	SLC6A14				
																	SLC6A8				
																	SMO				
																	SMOX				
																	SMR3B				
																	SNX22				
																	SORBS3				
																	SOSTDC1				
																	SOX10				
																	SOX9				
																	SPDYE6				
																	SPIB				
																	SPIC				
																	SPRR2A				
																	SRCIN1				
																	ST3GAL4				
																	ST6GALNAC3				
																	STC1				
																	SYT12				
																	TAS1R3				
																	TBC1D2B				
																	TBX1				
																	TEAD2				
																	TEAD4				
																	TFAP2B				
																	TFAP2C				
																	TFAP2E				
																	THBS1				
																	THY1				
																	TLE1				
																	TLL1				
																	TMEM132C				
																	TMEM229A				
																	TMEM37				
																	TMEM87A				
																	TMPRSS3				
																	TNFSF8				
																	TNFSF9				
																	TPM1				
																	TPM2				
																	TRIM17				
																	TRIM58				
																	TRIP6				
																	TRPM5				
																	TWIST1				
																	TYRO3				
																	VAV1				
																	VCAM1				
																	VIM				
																	WTIP				
																	WWC2				
																	WWTR1				
																	ZCCHC12				
																	ZFHX4				
																	ZIC1				
																	ZNF385D				
																	ZNF415				
																	ZYX				
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
