	0
0	Atypical_B
1	B_memory
2	B_naive
3	CD4_CTL
4	CD4_Tcm
5	CD4_Tfh-like
6	CD4_Th17
7	CD4_Tn
8	CD4_Tph-like
9	CD4_Tsen
10	CD8_Tcm
11	CD8_Tem
12	CD8_Temra
13	CD8_Tex
14	CD8_Tn
15	CD8_Trm
16	Endothelial
17	Epithelial
18	GC_B
19	ILC3
20	MAIT
21	MDSC-like
22	Mast
23	Mono
24	NK_CD56_CD49a_Hi
25	NK_CD56_CD49a_Lo
26	NK_CD56_dim
27	Plasma
28	TAM_FOLR2
29	TAM_TREM2
30	Treg_effector
31	Treg_naive
32	cDC1
33	cDC2
34	contCAP
35	iCAF
36	matCAF
37	mregDC
38	pDC
39	preDC
40	vSMC
