	0
403	ARIH1
404	ZNF117
405	ATP10D
406	FAM81B
407	SLC25A2
408	OR1J4
409	NANOGNB
410	MAD1L1
411	STOML3
412	SCT
413	PLCXD3
414	XPO7
415	LSR
416	GRIA1
417	HOXB3
418	TMEM220
419	GJA10
420	WDR20
421	SCN1A
422	TUBA8
423	MTRNR2L11
424	HAND2
425	TMEM39A
426	CLIC2
427	ABCC9
428	HSPA1L
429	NR5A2
430	PRMT7
431	SPDYC
432	AHCTF1
433	NIBAN3
434	RNASE6
435	FOXD3
436	VMA21
437	ACMSD
438	FAM124A
439	ANKRD46
440	RFFL
441	KIF13B
442	STK32A
443	EZR
444	RABGGTA
445	SAR1B
446	COLEC10
447	ARRDC2
448	FHOD3
449	SLC20A1
450	CTU1
451	DHX33
452	ATL2
453	CSNK1G2
454	OCIAD2
455	CDC42EP5
456	LBX2
457	ASL
458	EFCAB7
459	RGS9
460	TMEM216
461	LARGE2
462	RBM12
463	PTPA
464	DCAF5
465	PHF20
466	LRRC8D
467	COL20A1
468	SYMPK
469	SYNGR1
470	FRMD7
471	ZNF302
472	CSNKA2IP
473	GBP3
474	PRPF19
475	SURF2
476	THAP10
477	OGFOD2
478	THEG
479	HAUS5
480	SLC25A29
481	RTP5
482	FERMT2
483	FBXL19
484	SCARF2
485	PPFIA4
486	ANKRD22
487	TTLL9
488	OR8B2
489	CBY1
490	ZNF112
491	EML6
492	PCDHGA1
493	FHL5
494	RCC1
495	USP1
496	UBN1
497	ARL6IP6
498	RBCK1
499	SLC3A1
500	RFX5
501	ANAPC7
502	DAPP1
503	ATP11A
504	ZNF683
505	CBWD1
506	MICB
507	SNTG1
508	ZNF579
509	KLHL23
510	SLC23A1
511	CCL1
512	PHF7
513	ZNF430
514	FBXO46
515	PAFAH1B3
516	CNR2
517	GPC3
518	CYP27B1
519	SYT6
520	UCP3
521	RAP1GAP
522	NFIA
523	C8B
524	LCE2D
525	TMEM50A
526	EDN1
527	EPDR1
528	FCN3
529	SLC25A43
530	OR4E2
531	RGL1
532	AXIN2
533	ADAMTSL5
534	SHKBP1
535	TNFRSF21
536	CES1
537	R3HDM4
538	TTC39A
539	GALNT14
540	SRSF8
541	SIRT3
542	SLC9A2
543	GCLC
544	LETM2
545	PIGA
546	DMGDH
547	GALT
548	MMP19
549	SDK2
550	CKAP4
551	SRGAP2B
552	GALNT11
553	PSPN
554	PMS2
555	SKA2
556	SNORC
557	DEGS2
558	SPAG8
559	CHI3L2
560	CREB3L1
561	FAM214A
562	ISG20
563	POLR2L
564	PTBP1
565	PYROXD1
566	SMG8
567	EIF1AY
568	ERMARD
569	TMEM18
570	ARL11
571	C17orf78
572	DAND5
573	ENO3
574	WDR45
575	PXMP4
576	KLHL29
577	LBHD2
578	DCTN5
579	TGFB3
580	TLE4
581	KLHL34
582	CRBN
583	PBX1
584	ACSF3
585	MICU1
586	TNNI3
587	PANX1
588	JADE3
589	S100A7A
590	KIF20B
591	EPHB3
592	HDAC4
593	PXT1
594	PCNX4
595	GZMB
596	KRT75
597	S100A4
598	MKI67
599	CTSE
600	NEIL1
601	HESX1
602	PDIA3
603	PHYH
604	AAGAB
605	ADAMTS16
606	PAPPA
607	PSEN2
608	PSMA1
609	RMC1
610	MAGED1
611	PKDREJ
612	ATXN1L
613	EFNA2
614	MFSD3
615	PSIP1
616	LDLR
617	EIF4ENIF1
618	HRH3
619	GRB14
620	SLC26A11
621	UNC13A
622	RHOXF2
623	ACP5
624	GPANK1
625	GAST
626	AKAP8L
627	RBP7
628	CDRT1
629	UEVLD
630	PERP
631	TNFSF13
632	B3GNT2
633	AKNA
634	GGT7
635	CIITA
636	USP9Y
637	GRIN3B
638	C1orf54
639	LCE3D
640	FBXW9
641	NUDT14
642	TMEM239
643	PRR20G
644	MINDY1
645	CXADR
646	GON7
647	SRRM1
648	TRPV2
649	FAM110D
650	KRT6A
651	MOV10
652	ARHGEF4
653	INPP4A
654	KATNA1
655	NSMAF
656	NIP7
657	SNRPD2
658	LTB4R
659	SIRPA
660	ACP1
661	PLA2R1
662	CNTRL
663	AASS
664	KRT8
665	TNFAIP2
666	CYB5A
667	VGLL4
668	PYGM
669	ZNF732
670	OR1G1
671	TEX13A
672	HYPK
673	CES5A
674	NUP214
675	CCAR1
676	CFAP298
677	FSBP
678	MAMDC2
679	ZC3H12A
680	AGK
681	TNFSF15
682	TIMM22
683	RAB20
684	LGALS4
685	TEAD3
686	SLC12A6
687	AP5M1
688	MYLK4
689	ATAT1
690	FANCF
691	GBX2
692	SDCCAG8
693	SERINC3
694	TENM2
695	RGPD6
696	ARGLU1
697	AACS
698	CHMP2A
699	PRKRIP1
700	SDF4
701	CCDC9B
702	C12orf40
703	BAZ2A
704	SCCPDH
705	CYP11B1
706	ID1
707	EXOC4
708	CCDC25
709	TSC22D1
710	NCBP2L
711	PKLR
712	TUT4
713	UBAP1
714	LYSMD3
715	ZNF175
716	VGF
717	BANF1
718	SLC35G6
719	BORCS8
720	TUFT1
721	TMTC2
722	PEF1
723	TRMT1
724	SDHAF1
725	RSRC2
726	PAIP1
727	MMP27
728	RAB11A
729	CHST8
730	KLF12
731	MINDY2
732	PHPT1
733	PRM2
734	CLDN12
735	GTF2A2
736	PDXDC1
737	SERTAD2
738	TAF3
739	SCN1B
740	PPP1R16A
741	SNX29
742	C16orf90
743	PEX16
744	PCP2
745	TNS1
746	EPN1
747	OR2AE1
748	GFRAL
749	MLEC
750	PAIP2B
751	C3orf85
752	ANKRD34B
753	EXOSC9
754	ARHGEF33
755	IL3
756	GALNT8
757	CERS5
758	ARHGAP24
759	DDIT4L
760	TAS2R42
761	STAP1
762	SLC9A7
763	CHRM4
764	OR2A4
765	TOR1AIP1
766	ZNF524
767	PCDHGB5
768	SPDYE2B
769	KCNIP1
770	GIT1
771	BSDC1
772	LCE3E
773	DEAF1
774	ALOX12
775	LY6G6C
776	PCDHB16
777	SNAPIN
778	CNPY4
779	FGF2
780	GGH
781	SIGLEC9
782	TRIM8
783	SAP30
784	PSTPIP1
785	COBLL1
786	ZNF107
787	ST3GAL3
788	PLEK2
789	PCSK6
790	NAGLU
791	AKR1C8P
792	FUZ
793	CTAGE6
794	IGFBP1
795	KLRB1
796	DEFB4A
797	SUPT4H1
798	SLC39A11
799	RTN4IP1
800	C16orf89
801	TMEM106B
802	PRR4
803	DNTTIP1
804	MAGEF1
805	GOSR1
806	ARHGAP45
807	ANO10
808	B4GALNT2
809	LPP
810	ANKLE2
811	SIX6
812	CACNA1A
813	FLNC
814	SLC38A4
815	DDX53
816	PSMB6
817	DCTPP1
818	MEIOC
819	LRRC2
820	MCCC2
821	HTR3B
822	IZUMO4
823	RGS12
824	TRMT61B
825	AKR1A1
826	IL36RN
827	CRTC1
828	MYH10
829	REN
830	ZNF519
831	CDNF
832	DCLK2
833	LHFPL1
834	CACNB2
835	ALG8
836	PRSS21
837	CETN3
838	DNAJC11
839	OR13J1
840	ZNF487
841	PLEKHA1
842	FBXO45
843	CD9
844	ERCC4
845	GRK7
846	IPMK
847	IL17RE
848	LPCAT2
849	FBXL22
850	LMBR1L
851	CELA2A
852	OPRK1
853	PARK7
854	MZF1
855	PAX5
856	DDOST
857	EMX1
858	CARMIL1
859	CACNA1I
860	ABCC12
861	LYPD4
862	PYHIN1
863	RBM3
864	EDNRB
865	RNASE8
866	HBA2
867	DERL1
868	GDAP2
869	A3GALT2
870	KRT86
871	SLC6A4
872	SLC12A8
873	DNAJC4
874	PF4
875	RBPJL
876	NATD1
877	TMEM45B
878	OR5C1
879	TAGLN2
880	PRKCI
881	IDH2
882	CLCA1
883	TMEM126A
884	TSFM
885	KRT82
886	MFSD9
887	COA1
888	TSPAN19
889	CBL
890	GDPD4
891	CSNK1A1L
892	PRR19
893	C4A
894	SLC1A3
895	FARSA
896	MVB12B
897	GLG1
898	OCLN
899	S100A13
900	TRIM39
901	TMEM200A
902	ZFP41
903	PRSS45P
904	RAB14
905	SLC16A6
906	NOD2
907	TMEM235
908	TUBB2B
909	CLASP1
910	PGBD2
911	VPS52
912	TRAPPC3L
913	CDC42BPG
914	ZNF596
915	ENTPD6
916	TTC39C
917	C12orf71
918	PDRG1
919	SLC22A11
920	DDX52
921	FOXE3
922	HSD17B1
923	HDAC11
924	BCDIN3D
925	EIF4G1
926	JPH1
927	ZNHIT1
928	EDC3
929	ATP5MC2
930	GDE1
931	GPR39
932	NOL4L
933	STOML2
934	IL25
935	FGD5
936	C20orf194
937	OR5A1
938	ERMP1
939	ST3GAL4
940	HSPBP1
941	ILK
942	ERCC1
943	OR52W1
944	PKNOX2
945	MYCL
946	PTPN22
947	BRD4
948	SSTR3
949	PKDCC
950	TTN
951	ZFP36L2
952	ZNF792
953	PHF14
954	CLDN7
955	USP28
956	C2orf73
957	FXYD2
958	SFT2D2
959	CPXCR1
960	GCN1
961	RBBP8
962	YDJC
963	ABCA6
964	PATE3
965	NT5M
966	SLC5A3
967	APOLD1
968	EZHIP
969	TCN1
970	OR5AC2
971	ZNF708
972	ASTN2
973	XRCC4
974	PLPPR5
975	SCAF11
976	UCK2
977	RSU1
978	SPACA3
979	CPLANE2
980	ADIPOR1
981	TRAPPC3
982	SLCO4C1
983	AGPAT2
984	SLIRP
985	SLC2A1
986	ZG16B
987	SAV1
988	ZNF717
989	EEPD1
990	FBXO10
991	STAU1
992	PSMD12
993	CCT8L2
994	STC2
995	KRT80
996	LIPE
997	MACC1
998	PHOX2B
999	WASHC2C
1000	KIFC3
1001	ULBP2
1002	TNS4
1003	XAF1
1004	LAMTOR5
1005	UPRT
1006	UTP23
1007	HPF1
1008	NRDE2
1009	MYBPC3
1010	GREM1
1011	OPA1
1012	RABGEF1
1013	TMEM52B
1014	BEX4
1015	EID1
1016	GHR
1017	ERCC5
1018	CAPRIN1
1019	DEFB104B
1020	NRBP1
1021	DHRS13
1022	PDIA4
1023	GLS2
1024	LTO1
1025	ZNF507
1026	GPR37
1027	PINK1
1028	PDPN
1029	BHLHE22
1030	TMEM178A
1031	CLPTM1L
1032	MTTP
1033	RIN1
1034	AOAH
1035	KCTD3
1036	ZNF223
1037	CSRNP2
1038	KCND2
1039	CEACAM5
1040	PRPSAP1
1041	STK32B
1042	ZNF136
1043	MARVELD2
1044	CLASRP
1045	EIF2AK4
1046	CADM1
1047	GSTA4
1048	PRY
1049	GOLGA8F
1050	RYR3
1051	AK1
1052	PAPOLA
1053	SPATA1
1054	CCDC173
1055	TFAP2C
1056	CHRNG
1057	CHST3
