	0
4780	CCDC190
4781	MAGEB17
4782	ADGRF2
4783	CA13
4784	CCNT2
4785	METTL25
4786	SMOC2
4787	GPR3
4788	CASP10
4789	LCNL1
4790	ZSWIM3
4791	HAVCR2
4792	KRTAP10-6
4793	NDN
4794	SNRNP27
4795	CCNE1
4796	C19orf25
4797	SLC47A1
4798	A4GALT
4799	CATSPER2
4800	PPP2R5E
4801	ZNF322
4802	IDH1
4803	GRM8
4804	HBB
4805	MMP25
4806	DMBX1
4807	SH3TC2
4808	ADGRE3
4809	ALKAL2
4810	SLC35B1
4811	SNRPD3
4812	CNOT10
4813	ATP5PF
4814	PPP1R2C
4815	ALG5
4816	FIGN
4817	BNIP2
4818	ERCC6L
4819	MUC16
4820	ATP5MC3
4821	CTDSPL
4822	C3orf62
4823	TSSK6
4824	OR5H2
4825	LRRC29
4826	GAR1
4827	TAS2R60
4828	AKR7A2
4829	KRTAP5-6
4830	HEBP2
4831	NUP155
4832	NEUROD1
4833	OCRL
4834	SIPA1L3
4835	MYO19
4836	UNC5A
4837	CNGB1
4838	NMNAT2
4839	AAAS
4840	KCNK5
4841	SPCS2
4842	ADAMTSL3
4843	FAM110A
4844	RD3
4845	HAT1
4846	EMP3
4847	EN1
4848	EIF3M
4849	IFIT5
4850	ARL13B
4851	DDR1
4852	NCBP2
4853	RELL2
4854	IL17REL
4855	DNAI2
4856	TBCK
4857	CRNN
4858	GNG7
4859	HSPA6
4860	ODAPH
4861	PF4V1
4862	PIK3C3
4863	GSTA3
4864	CALHM2
4865	CRX
4866	POPDC2
4867	ARPC1B
4868	HEATR3
4869	HRC
4870	KDM6A
4871	LETMD1
4872	PATL1
4873	TM4SF18
4874	GOSR2
4875	PIGX
4876	RECQL4
4877	EPB41L4A
4878	CHRNA5
4879	EPPK1
4880	SZRD1
4881	DMAC1
4882	BIN3
4883	TMEM74
4884	TSEN15
4885	ZNF511
4886	EBF1
4887	MAGEB18
4888	ECHDC2
4889	POLK
4890	RFX4
4891	SCNN1B
4892	LATS1
4893	SLC30A7
4894	ESF1
4895	CIART
4896	PLEKHH3
4897	UBR4
4898	SIX1
4899	CDAN1
4900	ERI1
4901	NCLN
4902	DYM
4903	C4BPB
4904	QRFP
4905	SEMA4G
4906	SYPL2
4907	CHCHD3
4908	PTP4A1
4909	ZNF330
4910	MYBPC2
4911	CAMTA1
4912	TEKT5
4913	ST8SIA6
4914	IL36G
4915	TP73
4916	CCR3
4917	FGF14
4918	PGLYRP3
4919	SKAP2
4920	TMEM170B
4921	ADAM9
4922	IQANK1
4923	MYO1G
4924	ERVMER34-1
4925	SHTN1
4926	CCDC189
4927	CYP2J2
4928	TGIF2
4929	ZBBX
4930	KDM5D
4931	PPTC7
4932	SPIN2B
4933	SUFU
4934	LYL1
4935	ZNF679
4936	RPGR
4937	TAF4B
4938	COA7
4939	CCL5
4940	KYAT1
4941	APOBEC3H
4942	FOLR2
4943	POLR3F
4944	TPST2
4945	ANK2
4946	RARG
4947	PIK3IP1
4948	GTF2H2C
4949	TBP
4950	CLEC6A
4951	INF2
4952	TSPY2
4953	C10orf95
4954	RNF121
4955	SEC14L4
4956	ACAP3
4957	MAPK11
4958	SPINT1
4959	OR8B8
4960	DCAF12L1
4961	RLIM
4962	MRC1
4963	SLFN11
4964	TMEM38B
4965	CHD3
4966	CALM1
4967	DRD1
4968	PLCB1
4969	IFI16
4970	KCNK10
4971	CD47
4972	CLDN23
4973	CNGA2
4974	CCDC88A
4975	DMRTA1
4976	HLA-DQB2
4977	MAP7D2
4978	PHF10
4979	HNRNPLL
4980	NEDD4
4981	ZNF568
4982	CAMK1
4983	CAPG
4984	EML1
4985	NMRAL1
4986	PLAAT1
4987	POP1
4988	LRRC56
4989	SERPINA7
4990	RNF19A
4991	CENPH
4992	PLA2G3
4993	COL6A6
4994	ZSWIM5
4995	KRTAP3-3
4996	ACSS2
4997	HEXA
4998	S100Z
4999	ID3
5000	CLSPN
5001	AGAP2
5002	DHX30
5003	FAM241A
5004	FLT3LG
5005	GATA2
5006	SH2D3A
5007	SPATA18
5008	TMEM123
5009	SLC27A1
5010	TIMM29
5011	COL1A2
5012	HINFP
5013	YIPF4
5014	ZP1
5015	ATP10B
5016	LPCAT4
5017	C1orf216
5018	SEC24C
5019	DLG5
5020	GRIN2B
5021	NPTXR
5022	ASCC2
5023	COPG2
5024	HAPLN2
5025	RPN2
5026	ERBB4
5027	SERF1B
5028	GNG2
5029	NLRP3
5030	NUBPL
5031	GPR155
5032	ITPKC
5033	PTGER4
5034	SPDYE17
5035	EGLN2
5036	FAM217A
5037	ECEL1
5038	DYNLT3
5039	PDE4A
5040	PDLIM2
5041	ZNF546
5042	DDRGK1
5043	HACE1
5044	TMEM65
5045	C3orf18
5046	DOHH
5047	TBCB
5048	TDRD1
5049	TIMM10
5050	PDF
5051	GLI3
5052	LACTBL1
5053	NR4A2
5054	GUCA1C
5055	ABCD3
5056	A2ML1
5057	TMEM108
5058	F11
5059	INTS4
5060	OR7E24
5061	ENKD1
5062	KIR2DL1
5063	TRHDE
5064	IL7R
5065	SIAH2
5066	CEP44
5067	ABCC5
5068	TRIM63
5069	ZDHHC6
5070	ROCK2
5071	ERC1
5072	PTGES
5073	FAM25G
5074	CCNE2
5075	ACADSB
5076	SNAPC3
5077	CYTH4
5078	SRRT
5079	TBCC
5080	OR2T10
5081	SPRR2B
5082	ARID3A
5083	RAPGEF4
5084	LAMTOR3
5085	NAPEPLD
5086	C1RL
5087	TSPAN14
5088	FGF6
5089	RBMXL3
5090	SOX8
5091	TBX18
5092	THAP2
5093	TUBB6
5094	RGS8
5095	TNFRSF4
5096	ZNF333
5097	HHAT
5098	NME5
5099	TSEN54
5100	CCHCR1
5101	GRIK2
5102	GABRE
5103	RALYL
5104	STRN4
5105	HMSD
5106	CFAP73
5107	LGI1
5108	AAK1
5109	PTPRO
5110	SLC49A3
5111	FIGNL2
5112	RELB
5113	CCT7
5114	SPIN4
5115	EIF2B2
5116	C1QTNF9B
5117	DYSF
5118	SYNDIG1
5119	NAP1L4
5120	ACOT6
5121	INTS6
5122	SLC35E2B
5123	ARHGDIG
5124	HMX1
5125	DNAH3
5126	MOBP
5127	LRCH1
5128	GSTT4
5129	C4orf17
5130	HBS1L
5131	PPFIA1
5132	CLIP2
5133	SAA1
5134	STARD4
5135	APOBEC3C
5136	ANXA4
5137	DYNC2H1
5138	TNFSF14
5139	GPR156
5140	AEBP1
5141	YRDC
5142	MUS81
5143	BCAP29
5144	CCNJ
5145	KANK1
5146	GOLGA2
5147	TET2
5148	LYNX1
5149	SMAD3
5150	FOXL2
5151	ADAMTS20
5152	CNTN2
5153	NPFFR2
5154	MFAP5
5155	PCNP
5156	ROBO1
5157	SLC16A5
5158	PFN2
5159	ACIN1
5160	EHHADH
5161	GMIP
5162	MUC1
5163	OR6C3
5164	DSCAML1
5165	FAM20A
5166	RBM4
5167	MAPK4
5168	SMAGP
5169	TMEM35B
5170	CCL8
5171	FAM228A
5172	PKD2
5173	CAMKK1
5174	OR51C1P
5175	PNMA2
5176	IMPACT
5177	PDE3A
5178	PLEKHF1
5179	AVEN
5180	GLRX3
5181	KCNC3
5182	MBD3L2B
5183	SMIM41
5184	TMEFF1
5185	ORC3
5186	SKI
5187	PCDHGB7
5188	LRRC73
5189	TNFRSF10C
5190	ADAMTSL4
5191	NSD1
5192	SUN3
5193	OR2G6
5194	NPW
5195	DDO
5196	ASPHD1
5197	SBNO2
5198	NAB1
5199	TMEM131
5200	MVB12A
5201	STYX
5202	SLCO1A2
5203	EDDM3B
5204	OTUD7A
5205	TTK
5206	RNF123
5207	SCG3
5208	GLIPR1L2
5209	GOT1
5210	NOP14
5211	PKMYT1
5212	ZFP42
5213	ATP13A4
5214	HOXD12
5215	HDX
5216	CSPG5
5217	TMEM159
5218	COG1
5219	MMP7
5220	SPIRE1
5221	SUN1
5222	DOT1L
5223	SMIM29
5224	PECR
5225	GPR12
5226	SLC44A3
5227	COPS7A
5228	PDZD4
5229	TRIL
5230	CENPP
5231	C2CD6
5232	PEAK3
5233	LIPI
5234	RLF
5235	HSD3B2
5236	CYTH2
5237	RHOV
5238	DTNBP1
5239	ATP8B3
5240	GADD45A
5241	TMEM268
5242	ZNF280A
5243	PRR14
5244	FAM174A
5245	SPA17
5246	MDGA1
5247	CCZ1
5248	P2RX1
5249	POU5F2
5250	GATAD2B
5251	ITGA10
5252	MAP2
5253	PAGE2B
5254	TMEM87B
5255	GRK2
5256	KCNE2
5257	KLF16
5258	VAV1
5259	PYCR1
5260	MAPK13
5261	GNPAT
5262	HPRT1
5263	EPS15
5264	MAGEE2
5265	NEDD4L
5266	AZU1
5267	SORCS2
5268	MUC5AC
5269	CST7
5270	ARPC1A
5271	KBTBD2
5272	USH1C
5273	ANKRD29
5274	CNNM3
5275	HYDIN
5276	MAL
5277	CSAG3
5278	ABCB10
5279	ANKRD54
5280	GUCY2F
5281	LIMK1
5282	MED13
5283	DNAL4
5284	C4orf48
5285	CPT1C
5286	MPG
5287	IFNK
5288	AIRE
5289	BMP3
5290	DPYS
5291	PTN
5292	C4orf33
5293	CMTM7
5294	CENPN
5295	SETX
5296	C1orf210
5297	HES2
5298	SLC17A7
5299	TTC39B
5300	PLOD2
5301	REX1BD
5302	TTC32
5303	OR5P2
5304	UBXN2A
5305	DEFB108B
5306	GCHFR
5307	VAT1L
5308	TUBA4A
5309	YIF1B
5310	ZHX2
5311	TCEA1
5312	CCNO
5313	ANKRD37
5314	BLMH
5315	KIF3B
5316	C22orf42
5317	FHL1
5318	FUT10
5319	TMEM43
5320	SLC30A3
5321	ANG
5322	ERN1
5323	MSS51
5324	GADD45B
5325	NEFM
5326	CYP8B1
5327	CYB5RL
5328	GAGE1
5329	GSC2
5330	BRI3BP
5331	HSD17B4
5332	CLNK
5333	ZNF449
5334	PPP1R3B
5335	INHBA
5336	TTLL3
5337	MTMR9
5338	RBKS
5339	POLA1
5340	FBLN5
5341	TCAP
5342	ZNF862
5343	CALML6
5344	LILRB5
5345	SH3GL2
5346	REEP2
5347	SPRYD7
5348	AFF1
5349	NTAN1
5350	TSPY9P
5351	ANP32B
5352	PRRT1B
5353	CBX6
5354	CAV2
5355	NCK1
5356	PIK3CG
5357	DAGLB
5358	SQLE
5359	VIL1
5360	CCDC153
5361	CDKN2AIP
5362	NACA2
5363	SMIM12
5364	GSK3B
5365	NBPF15
5366	BCAT1
5367	TBC1D22A
5368	PLPP3
5369	FUT3
5370	CCDC191
5371	HGH1
5372	PARP16
5373	BARHL2
5374	PRPS1
5375	CROCC2
5376	EID2B
5377	BTLA
5378	LRIF1
5379	CSMD3
5380	PLAC9
5381	MPHOSPH10
5382	TMEM68
5383	UBQLN4
5384	SDHAF2
5385	HM13
5386	LDHC
5387	SLC9B1
5388	MAGEA2B
5389	SLC2A13
5390	PLA2G4C
5391	SRL
5392	APOL3
5393	PNCK
5394	CYLC1
5395	KIF5A
5396	POLE4
5397	MTCH1
5398	TBC1D3H
5399	RORB
5400	FUNDC2
5401	HSP90AB1
5402	SIAE
5403	TMEM33
5404	ARFIP1
5405	C5AR1
5406	GOLM1
5407	HES6
5408	MAGEA11
5409	ENG
5410	FAM71E2
5411	DPPA5
5412	NME8
5413	KRTAP4-4
5414	AP000812.4
5415	ATF6B
5416	SPSB3
5417	ZNF30
5418	CHID1
5419	B9D2
5420	ARMCX5-GPRASP2
5421	CCDC74A
5422	IL1RN
5423	ACYP2
5424	TRMO
5425	CIP2A
5426	NUDT8
5427	ZNF552
5428	ABCB8
5429	C10orf88
5430	RBM10
5431	BTBD7
5432	STX3
5433	MAN1C1
5434	DEPDC4
5435	CORO1A
5436	IQCN
5437	OTULIN
5438	GAS8
5439	SMPD4
5440	IGF2BP1
5441	FAM53A
5442	KRTAP1-3
5443	PEX12
5444	POMP
5445	MTNR1B
5446	PP2D1
5447	NISCH
5448	SBF1
5449	DDX31
5450	GAB2
5451	PRKAA2
5452	SMARCD1
5453	KCNMA1
5454	IFNW1
5455	MGST3
5456	UBE2E2
5457	GOLGA1
5458	CCDC12
5459	PRAC2
5460	BORA
5461	FBXL12
5462	UMODL1
5463	CCNB1
5464	ZNF639
5465	STX11
5466	MFAP2
5467	KRT73
5468	ENPP4
5469	NKPD1
5470	SDHB
5471	POMT2
5472	DPPA2
5473	PDE7B
5474	SHOC2
5475	LPA
5476	PSME2
5477	SLC1A2
5478	EPHA6
5479	PNMA1
5480	AMIGO1
5481	GALNT18
5482	PIK3C2B
5483	ZDHHC14
5484	SLC22A6
5485	TMEM247
5486	SPICE1
5487	EHBP1
5488	TRIM35
5489	EDIL3
5490	RAB40AL
5491	IL11
5492	PCBD2
5493	ADPRM
5494	VPS37C
5495	BMX
5496	FOXO3
5497	NME9
5498	ZMIZ1
5499	TRAF5
5500	UTP6
5501	DNLZ
5502	GBA2
5503	KRT26
5504	NT5C1A
5505	IPPK
5506	NPIPA7
5507	ETV5
5508	TRIM54
5509	AGO1
5510	ADAM23
5511	DENND6B
5512	OR4A16
5513	TPTE2
5514	C4orf36
5515	HMGB3
5516	COL4A1
5517	EPB41L3
5518	AMOT
5519	ALDH8A1
5520	VSTM2L
5521	AADAT
5522	TNFAIP1
5523	AATK
5524	PGAM5
5525	RNF216
5526	FLOT2
5527	HELQ
5528	USP22
5529	HBG2
5530	MATN2
5531	TSBP1
5532	CMTM4
5533	GSPT1
5534	SMG1
5535	NPIPB8
5536	SLC25A46
5537	CORT
5538	TOGARAM1
5539	TRAIP
5540	PTCRA
5541	CCL23
5542	RFNG
5543	PLAU
5544	RNF214
5545	REEP3
5546	CAND2
5547	GPR75
5548	CNTN4
5549	PMIS2
5550	COPZ2
5551	KDM5B
5552	PLS3
5553	N4BP2L2
5554	THADA
5555	GOLT1A
5556	ESRRG
5557	PCDHGB6
5558	PDCL3
5559	CSTF2T
5560	ADAMTS18
5561	FAM47C
5562	TMEM31
5563	TP63
5564	ANKRD31
5565	AMHR2
5566	APOM
5567	ASF1B
5568	CHODL
5569	FLRT3
5570	CPNE2
5571	FBXO21
5572	GIT2
5573	MTO1
5574	OR4N2
5575	C9orf153
5576	OR52E5
5577	THAP11
5578	TMEM184A
5579	TMEM240
5580	RIPPLY1
5581	UTF1
5582	AADAC
5583	ELMO1
5584	CRAT
5585	ADGRG5
5586	TFEC
5587	CXorf65
5588	COL7A1
5589	KEAP1
5590	WDR46
5591	ZC3HAV1
5592	ETFDH
5593	C8orf33
5594	ATP13A5
5595	P2RX5
5596	ZNF79
5597	VKORC1L1
5598	ZNF227
5599	AGFG1
5600	ADPRH
5601	EEF1A1
5602	CPSF1
5603	NDUFA8
5604	LDLRAD4
5605	GABARAPL1
5606	NAA35
5607	LRRC46
5608	MEMO1
5609	PELO
5610	RRAGB
5611	CXorf56
5612	IFT22
5613	TNRC18
5614	SRC
5615	CYFIP2
5616	TPD52L3
5617	TRIM74
5618	DNER
5619	LIX1
5620	NUTM2G
5621	C11orf98
5622	NUMA1
5623	WEE1
5624	CST5
5625	GPRC5A
5626	ACTR1A
5627	BECN1
5628	SORBS3
5629	SRSF1
5630	AC231656.1
5631	CD19
5632	CENPQ
5633	TCTE3
5634	TERB2
5635	CELSR3
5636	PCYOX1
5637	ANKRD36B
5638	COL8A2
5639	RPUSD4
5640	HIP1
5641	VSIG10
5642	PPP1R35
5643	ANKRD52
5644	GAL3ST2
5645	AVL9
5646	HMGN5
5647	PRB3
5648	ZNF497
5649	ECI2
5650	C8orf58
5651	ADAM8
5652	GOLGA8H
5653	PTPRG
5654	F5
5655	MKRN2
5656	NHEJ1
5657	WNT7B
5658	FAM227B
5659	HSPB6
5660	C5orf51
5661	SMARCA5
5662	FBXO6
5663	NPC1L1
5664	IL32
5665	POGLUT1
5666	LPAR6
5667	UROD
5668	UBA1
5669	CTDSP2
5670	ZNF37A
5671	ZNF831
5672	CEP41
5673	METRN
5674	SYNE3
5675	METAP2
5676	C20orf85
5677	PTGDR2
5678	EMC4
5679	FAM163A
5680	KLHL17
5681	POFUT2
5682	EXD1
5683	CTRL
5684	NR2F1
5685	TTC14
5686	TCEAL3
5687	LRP3
5688	SLC1A6
5689	TNKS2
5690	AMN
5691	DPY19L1
5692	HSD17B12
5693	PI4K2B
5694	SLC2A8
5695	AMER3
5696	LRFN4
5697	NBL1
5698	SAMD13
5699	DSTYK
5700	DNAJC25
5701	PRAP1
5702	NSUN4
5703	GPR15
5704	GTF2IRD2
5705	NAGS
5706	ARHGEF10L
5707	KBTBD7
5708	LRRC37A
5709	LRP2BP
5710	FGR
5711	IQCJ
5712	CPA4
5713	NFKB1
5714	UBTF
5715	MAB21L3
5716	PRAMEF12
5717	BRCA2
5718	REM1
5719	TBR1
5720	RGS19
5721	NDUFAF1
5722	BCS1L
5723	ILF3
5724	ELOVL3
5725	WDR5B
5726	EREG
5727	HTR2C
5728	ADH4
5729	RAD51AP2
5730	BIN2
5731	NMD3
5732	POU3F2
5733	PNPLA7
5734	YWHAQ
5735	G2E3
5736	FAM20C
5737	SEMA7A
5738	OR52B6
5739	MAPKAPK3
5740	CHST14
5741	KCTD8
5742	KIF1B
5743	TSPAN12
5744	ACP6
5745	GPR107
5746	NDUFA4
5747	POLD4
5748	ZFP57
5749	APOBEC3D
5750	SRSF12
5751	C20orf202
5752	CEL
5753	PEX7
5754	FLI1
5755	FOXS1
5756	CHMP7
5757	KCNQ4
5758	MAGEB6
5759	PSAP
5760	POTEH
5761	SLC44A4
5762	C1orf109
5763	SNPH
5764	MAPK14
5765	TALDO1
5766	POU2AF1
5767	SYF2
5768	RRM1
5769	OR6Y1
5770	OR9I1
5771	PRKCQ
5772	OOSP4A
5773	ZNF285
5774	CLDN24
5775	DPH5
5776	ZNF426
5777	TBX20
5778	NUP88
5779	KRTAP19-1
5780	GALNTL5
5781	PRRT4
5782	ZNF91
5783	CNTF
5784	ATG9A
5785	GDPD2
5786	C11orf49
5787	NUP35
5788	ADCY4
5789	DNAJC5
5790	KLK8
5791	NTRK2
5792	HUS1
5793	SMYD1
5794	C1QTNF12
5795	EMD
5796	ACAA2
5797	OR2T8
5798	LAMB4
5799	CCR10
5800	SECISBP2L
5801	CYP4Z1
5802	CENPO
5803	ZNF286A
5804	WAS
5805	BCKDHA
5806	RAP1A
5807	UPK2
5808	EMID1
5809	CRYBB1
5810	PRR23C
5811	SLC26A4
5812	THTPA
5813	BUD23
5814	SMPD2
5815	BHMT
5816	CCDC58
5817	DNAH7
5818	TES
5819	CPAMD8
5820	PAPOLB
5821	RBMX2
5822	MMP28
5823	ANKRD13A
5824	IER3IP1
5825	PAN2
5826	RASGRF1
5827	TSLP
5828	SHCBP1L
5829	WIPI1
5830	PIFO
5831	SEC22C
5832	RBMY1J
5833	FOXN4
5834	ZNF783
5835	VCPKMT
5836	SCEL
5837	TAGLN3
5838	SH3TC1
5839	FAM169A
5840	ATPAF1
5841	HSPA1A
5842	ISY1
5843	GEMIN8
5844	TRMT10C
5845	LST1
5846	MICAL3
5847	C20orf204
5848	TMEM161B
5849	IQSEC3
5850	RUNX3
5851	BGN
5852	MXD1
5853	AOC3
5854	SULT2A1
5855	IRX6
5856	SPRR4
5857	HACD3
5858	SFTPD
5859	CALCB
5860	FLYWCH2
5861	NDUFA1
5862	ZNF280C
5863	LCN2
5864	PDE6B
5865	TBC1D13
5866	IFI27
5867	ZNF623
5868	MIPEP
5869	TCEAL9
5870	TUT7
5871	SYNDIG1L
5872	HCRT
5873	HTR1D
5874	EDN3
5875	BTBD9
5876	BBS1
5877	NR1I2
5878	PLEKHH2
5879	NAAA
5880	NPIPB15
5881	PAICS
5882	RAP2B
5883	TRPM7
5884	SLC9A1
5885	SCYGR4
5886	ABCC4
5887	GPX2
5888	HAAO
5889	JHY
5890	KRT4
5891	OR10A6
5892	SGCG
5893	ZFYVE26
5894	SSPN
5895	TTLL10
5896	ERVK3-1
5897	TXNDC17
5898	FGF4
5899	NET1
5900	EGR1
5901	CLIC6
5902	DDX1
5903	ITIH4
5904	ZBTB7A
5905	PRIM1
5906	PLPP5
5907	C11orf24
5908	CAND1
5909	ILDR1
5910	KRTAP4-2
5911	RPUSD1
5912	TBC1D2
5913	PIGBOS1
5914	NUDT4
5915	SELENOS
5916	CPSF7
5917	ALDH1A2
5918	FADS3
5919	CPEB3
5920	SHMT2
5921	DMPK
5922	SNAI1
5923	RIT1
5924	VWA1
5925	KANSL3
5926	MAB21L4
5927	PRPF40B
5928	ZSWIM6
5929	ZNF415
5930	FOCAD
5931	GAS1
5932	RPP40
5933	RPF1
5934	DLGAP2
5935	XPO6
5936	TXNDC11
5937	TMEM101
5938	PRRC2A
5939	CD37
5940	UBAP2L
5941	ULK1
5942	USPL1
5943	NF2
5944	KIF3C
5945	NHLRC2
5946	CDHR4
5947	ZNF541
5948	ACTL7A
5949	MTMR12
5950	KCNU1
5951	AGRN
5952	CACNG5
5953	PPP1R27
5954	WDR4
5955	C6orf62
5956	CD81
5957	NELFA
5958	LDHAL6B
5959	SALL2
5960	TEX54
5961	GLIPR2
5962	WNT4
5963	MTFP1
5964	DGLUCY
5965	SH2D4B
5966	VPS4A
5967	IGF2
5968	ZNF8
5969	UHRF1BP1
5970	ZNF473
5971	ZNF680
5972	SLC45A4
5973	TMEM204
5974	NACAD
5975	ZNF239
5976	HTRA3
5977	TBC1D10B
5978	ZFAND3
5979	TEX35
5980	CEACAM21
5981	PPP2R5D
5982	GH2
5983	OR2J3
5984	PDE6D
5985	TMEM121
5986	PCDHAC1
5987	FLAD1
5988	ZBTB45
5989	CLDN25
5990	CD69
5991	TNFRSF19
5992	CEACAM6
5993	GALNS
5994	CDPF1
5995	CARHSP1
5996	BMP1
5997	ADA2
5998	AMELX
5999	KMT2B
6000	PIR
6001	ARHGAP26
6002	TSPAN2
6003	UCKL1
6004	CCDC54
6005	SLF1
6006	CUZD1
6007	VANGL2
6008	G3BP2
6009	SOX12
6010	ABR
6011	AAMP
6012	VSTM4
6013	GDAP1L1
6014	DIDO1
6015	KSR2
6016	MAX
6017	SH3BGRL2
6018	NFAT5
6019	USO1
6020	RFXANK
6021	ACTL10
6022	PSG7
6023	CDC14B
6024	TMEM255A
6025	ZNF776
6026	SPRY1
6027	RTL3
6028	DSTN
6029	PLEKHG1
6030	TCF4
6031	EEF1E1
6032	C2orf72
6033	PIM3
6034	C1orf174
6035	ABCG1
6036	PLPPR3
6037	EFHD2
6038	UAP1L1
6039	CXCL5
6040	BRD8
6041	FAM98A
6042	HRH2
6043	LCA5
6044	TTC26
6045	FGF22
6046	TAB1
6047	BMI1
6048	STEAP2
6049	EXTL3
6050	BRIP1
6051	GPR176
6052	TNIP3
6053	ZNF207
6054	APH1B
6055	FERMT3
6056	GCM2
6057	GRK6
6058	IGSF9
6059	CALY
6060	PCDHGB4
6061	POLQ
6062	UTP11
6063	IRF1
6064	ZNF526
6065	PLAAT5
6066	C1orf74
6067	XCL1
6068	SPATA25
6069	SLURP1
6070	CTSC
6071	GMPPA
6072	CD300LD
6073	AGXT
6074	JPH4
6075	ZNF3
6076	FKRP
6077	FGFR1OP2
6078	USP32
6079	ZNF143
6080	CX3CR1
6081	HMX2
6082	ANO4
6083	C1orf35
6084	GBP6
6085	ZFP91
6086	SLC38A2
6087	QKI
6088	HDC
6089	DYNC1H1
6090	GPR135
6091	TNFSF18
6092	TBC1D24
6093	FKBP1B
6094	LDLRAD2
6095	SUDS3
6096	CGB5
6097	GGNBP2
6098	SIRT5
6099	INCENP
6100	DDX51
6101	MAGED4
6102	RAD52
6103	TUBGCP3
6104	CHMP1A
6105	THRA
6106	HORMAD1
6107	SETD6
6108	USP30
6109	NPIPB6
6110	SWSAP1
6111	SOCS4
6112	FST
6113	PCDHB7
6114	USP9X
6115	MTF2
6116	NFE2
6117	OR51E2
6118	PCDH17
6119	MRAS
6120	METTL21A
6121	ADAMTS1
6122	PEBP4
6123	MVP
6124	TBC1D16
6125	AWAT1
6126	ARHGAP9
6127	GALE
6128	TAS2R39
6129	STEAP1
6130	GRID1
6131	NOS1
6132	DDX50
6133	RUSC1
6134	TPCN1
6135	SLC2A10
6136	ADO
6137	MS4A15
6138	GRHL3
6139	NMRK1
6140	CLDN8
6141	DUSP21
6142	ABCD1
6143	ACBD7
6144	NEDD8
6145	OR1E1
6146	OR8A1
6147	CDCA3
6148	IBSP
6149	CHRM5
6150	TOMM5
6151	SFT2D1
6152	SPATA20
6153	ADGRB2
6154	ATP6V0C
6155	BCL2L13
6156	DHX9
6157	GPCPD1
6158	GIMAP1
6159	CTHRC1
6160	FNTA
6161	SERPINA3
6162	PKD1L1
6163	POM121C
6164	MIP
6165	LRRC8E
6166	GLCCI1
6167	RAB8B
6168	PDCD2L
6169	FGFR2
6170	ACSL5
6171	CYFIP1
6172	TTC17
6173	UCMA
6174	BRWD1
6175	LHFPL2
6176	CDIPT
6177	KPTN
6178	PAX2
6179	GCKR
6180	SARM1
6181	C5AR2
6182	LLPH
6183	SFRP4
6184	BVES
6185	PHYHIP
6186	SLC27A4
6187	TSPAN1
6188	GPRASP1
6189	SLITRK6
6190	SLC22A18
6191	CACFD1
6192	FANCD2OS
6193	MKRN1
6194	BRD1
6195	POTEC
6196	SIL1
6197	PROSER3
6198	UMPS
6199	TXNDC2
6200	ZNF554
6201	C16orf82
6202	PTPRT
6203	ZNF35
6204	STRN3
6205	TNFSF11
6206	TPMT
6207	CLCNKA
6208	AHCYL2
6209	NRCAM
6210	CCDC74B
6211	FAM110C
6212	PTPRA
6213	CEACAM7
6214	OR6F1
6215	PGK2
6216	SGSM3
6217	DCT
6218	CFAP97D1
6219	EIF2A
6220	CYSLTR1
6221	LRRC34
6222	RNASE3
6223	PRR18
6224	ENOPH1
6225	SLC25A22
6226	TMED3
6227	DES
6228	GMCL2
6229	BCHE
6230	PRR11
6231	ARHGAP15
6232	MRLN
6233	PRSS1
6234	SAPCD2
6235	CD8B2
6236	CDK11B
6237	IFIT2
6238	ALKBH5
6239	PARP4
6240	OSR1
6241	SWT1
6242	POTEJ
6243	KRTAP4-5
6244	RAB5B
6245	AMT
6246	CRLS1
6247	CNBD1
6248	CARD11
6249	MAP3K1
6250	PDGFA
6251	BATF2
6252	UGT1A9
6253	PSMD7
6254	SKIV2L
6255	PITHD1
6256	MESP1
6257	EVL
6258	P2RX3
6259	MROH8
6260	HNRNPCL3
6261	PACSIN1
6262	SCGB1D2
6263	WLS
6264	C1QBP
6265	PRPF31
6266	ATP1B3
6267	GABRB2
6268	FAM32A
6269	KEL
6270	ZNF267
6271	ESRRA
6272	CDH16
6273	COPB1
6274	LSM12
6275	SEC13
6276	TGM5
6277	SEMA3E
6278	MYH4
6279	MAPK7
6280	ZBTB37
6281	ASB13
6282	SRA1
6283	ZNF316
6284	GLTP
6285	SETD3
6286	LILRB4
6287	C1orf146
6288	KPNA1
6289	CBX8
6290	MT4
6291	DTWD2
6292	COG7
6293	MYSM1
6294	POLR3K
6295	PRSS3
6296	AARSD1
6297	ZNF234
6298	PEX5L
6299	MZT2A
6300	UPK1A
6301	RBMY1E
6302	RHPN2
6303	SESTD1
6304	SEPHS1
6305	SMDT1
6306	SLC16A13
6307	TMPPE
6308	APC2
6309	CD1C
6310	CTNNA1
6311	EIF2S3B
6312	STK19
6313	TRAM1
6314	MYBBP1A
6315	TRIM13
6316	PEPD
6317	AFF2
6318	CPD
6319	EXTL1
6320	HMGCL
6321	SCYGR1
6322	EYA4
6323	PIK3C2A
6324	CIDEC
6325	IL18
6326	OR2V1
6327	SMCO1
6328	FAM240C
6329	RPUSD3
6330	MKNK2
6331	DENND5A
6332	OLFM1
6333	C19orf53
6334	RAB5A
6335	IKBKG
6336	NAXE
6337	ZNF622
6338	AASDHPPT
6339	DHX34
6340	RNF213
6341	PLA2G2D
6342	CASP1
